provider,experiment,ok,compatibility_status,comparable,question_count,cardinality,context_chars,evidence_position,wall_ms,server_ms,error_type
semif,choice_cardinality_scaling,False,unsupported_cardinality,False,,128.0,,,0.22370880469679832,0.223709,ValueError
semif,context_length_position,True,full_input,True,,,500.0,start,273.4502078965306,273.450208,
semif,context_length_position,True,full_input,True,,,500.0,middle,273.54075014591217,273.54075,
semif,context_length_position,True,full_input,True,,,500.0,end,269.61195887997746,269.611959,
semif,context_length_position,True,full_input,True,,,2000.0,start,526.0278331115842,526.027833,
semif,context_length_position,True,full_input,True,,,2000.0,middle,524.3521670345217,524.352167,
semif,context_length_position,True,full_input,True,,,2000.0,end,517.8873338736594,517.887334,
semif,context_length_position,True,full_input,True,,,8000.0,start,1527.5477080140263,1527.547708,
semif,context_length_position,True,full_input,True,,,8000.0,middle,1528.8849170319736,1528.884917,
semif,context_length_position,True,full_input,True,,,8000.0,end,1559.0130409691483,1559.013041,
semif,context_length_position,True,full_input,True,,,32000.0,start,5986.587916035205,5986.587916,
semif,context_length_position,True,full_input,True,,,32000.0,middle,5901.457624975592,5901.457625,
semif,context_length_position,True,full_input,True,,,32000.0,end,5826.358707854524,5826.358708,
jev,parallel_question_scaling,True,,,1.0,,,,858.6630830541253,157.0,
jev,parallel_question_scaling,True,,,2.0,,,,313.7221250217408,103.0,
jev,parallel_question_scaling,True,,,4.0,,,,353.62058295868337,150.0,
jev,parallel_question_scaling,True,,,8.0,,,,286.6446659900248,82.0,
jev,parallel_question_scaling,True,,,16.0,,,,363.5211670771241,110.0,
jev,parallel_question_scaling,True,,,32.0,,,,333.94383382983506,131.0,
jev,parallel_question_scaling,True,,,64.0,,,,410.06324999034405,203.0,
jev,choice_cardinality_scaling,True,,,,2.0,,,300.60874996706843,72.0,
jev,choice_cardinality_scaling,True,,,,4.0,,,281.67858300730586,71.0,
jev,choice_cardinality_scaling,True,,,,8.0,,,280.9950830414891,69.0,
jev,choice_cardinality_scaling,True,,,,16.0,,,282.9986670985818,76.0,
jev,choice_cardinality_scaling,True,,,,32.0,,,330.6871671229601,121.0,
jev,choice_cardinality_scaling,True,,,,64.0,,,276.45150013267994,70.0,
jev,choice_cardinality_scaling,True,,,,128.0,,,292.34270798042417,78.0,
jev,context_length_position,True,,,,,500.0,start,342.42166695185006,99.0,
jev,context_length_position,True,,,,,500.0,middle,325.1045411452651,122.0,
jev,context_length_position,True,,,,,500.0,end,330.3926249500364,119.0,
jev,context_length_position,True,,,,,2000.0,start,393.46454199403524,162.0,
jev,context_length_position,True,,,,,2000.0,middle,318.886750144884,110.0,
jev,context_length_position,True,,,,,2000.0,end,305.35129201598465,100.0,
jev,context_length_position,True,,,,,8000.0,start,421.84337484650314,177.0,
jev,context_length_position,True,,,,,8000.0,middle,322.40733318030834,115.0,
jev,context_length_position,True,,,,,8000.0,end,299.90745801478624,86.0,
jev,context_length_position,True,,,,,32000.0,start,307.65533400699496,99.0,
jev,context_length_position,True,,,,,32000.0,middle,325.7900408934802,113.0,
jev,context_length_position,True,,,,,32000.0,end,365.3472501318902,150.0,
semif,parallel_question_scaling,True,full_input,True,1.0,,,,514.0586670022458,514.058667,
semif,parallel_question_scaling,True,full_input,True,2.0,,,,554.0472499560565,554.04725,
semif,parallel_question_scaling,True,full_input,True,4.0,,,,684.5526660326868,684.552666,
semif,parallel_question_scaling,True,full_input,True,8.0,,,,896.039041923359,896.039042,
semif,parallel_question_scaling,True,full_input,True,16.0,,,,1375.0849580392241,1375.084958,
semif,parallel_question_scaling,True,full_input,True,32.0,,,,2354.413792025298,2354.413792,
semif,parallel_question_scaling,True,full_input,True,64.0,,,,4381.73137512058,4381.731375,
semif,choice_cardinality_scaling,True,full_input,True,,2.0,,,162.45358297601342,162.453583,
semif,choice_cardinality_scaling,True,full_input,True,,4.0,,,211.27133397385478,211.271334,
semif,choice_cardinality_scaling,True,full_input,True,,8.0,,,282.4677911121398,282.467791,
semif,choice_cardinality_scaling,True,full_input,True,,16.0,,,427.8154589701444,427.815459,
semif,choice_cardinality_scaling,False,unsupported_cardinality,False,,32.0,,,0.38012489676475525,0.380125,ValueError
semif,choice_cardinality_scaling,False,unsupported_cardinality,False,,64.0,,,0.3646670375019312,0.364667,ValueError
semif,choice_cardinality_scaling,False,unsupported_cardinality,False,,128.0,,,0.6688751745969057,0.668875,ValueError
semif,context_length_position,True,full_input,True,,,500.0,start,276.90016594715416,276.900166,
semif,context_length_position,True,full_input,True,,,500.0,middle,279.5697080437094,279.569708,
semif,context_length_position,True,full_input,True,,,500.0,end,277.01558405533433,277.015584,
semif,context_length_position,True,full_input,True,,,2000.0,start,529.1015829425305,529.101583,
semif,context_length_position,True,full_input,True,,,2000.0,middle,533.8352499529719,533.83525,
semif,context_length_position,True,full_input,True,,,2000.0,end,531.6224589478225,531.622459,
semif,context_length_position,True,full_input,True,,,8000.0,start,1530.025624902919,1530.025625,
semif,context_length_position,True,full_input,True,,,8000.0,middle,1475.889875087887,1475.889875,
semif,context_length_position,True,full_input,True,,,8000.0,end,1478.355250088498,1478.35525,
semif,context_length_position,True,full_input,True,,,32000.0,start,5937.760791974142,5937.760792,
semif,context_length_position,True,full_input,True,,,32000.0,middle,5916.851792018861,5916.851792,
semif,context_length_position,True,full_input,True,,,32000.0,end,5877.067374996841,5877.067375,
jev,parallel_question_scaling,True,,,1.0,,,,793.4229578822851,99.0,
jev,parallel_question_scaling,True,,,2.0,,,,301.4309999998659,85.0,
jev,parallel_question_scaling,True,,,4.0,,,,312.8124577924609,101.0,
jev,parallel_question_scaling,True,,,8.0,,,,367.37258289940655,143.0,
jev,parallel_question_scaling,True,,,16.0,,,,306.79362500086427,87.0,
jev,parallel_question_scaling,True,,,32.0,,,,296.4650420472026,80.0,
jev,parallel_question_scaling,True,,,64.0,,,,305.55220879614353,87.0,
jev,parallel_question_scaling,True,,,128.0,,,,407.6320000458509,167.0,
jev,choice_cardinality_scaling,True,,,,2.0,,,352.7137499768287,136.0,
jev,choice_cardinality_scaling,True,,,,4.0,,,296.85366596095264,77.0,
jev,choice_cardinality_scaling,True,,,,8.0,,,393.5705421026796,92.0,
jev,choice_cardinality_scaling,True,,,,16.0,,,290.1234580203891,76.0,
jev,choice_cardinality_scaling,True,,,,32.0,,,277.5960420258343,59.0,
jev,choice_cardinality_scaling,True,,,,64.0,,,330.17204119823873,112.0,
jev,choice_cardinality_scaling,True,,,,128.0,,,349.6452500112355,134.0,
jev,choice_cardinality_scaling,True,,,,255.0,,,329.61054192855954,113.0,
jev,context_length_position,True,,,,,500.0,start,268.48374982364476,51.0,
jev,context_length_position,True,,,,,500.0,middle,414.3165841232985,196.0,
jev,context_length_position,True,,,,,500.0,end,356.01741704158485,129.0,
jev,context_length_position,True,,,,,2000.0,start,315.84962480701506,103.0,
jev,context_length_position,True,,,,,2000.0,middle,302.54154186695814,86.0,
jev,context_length_position,True,,,,,2000.0,end,278.6607921589166,67.0,
jev,context_length_position,True,,,,,8000.0,start,313.8785420451313,94.0,
jev,context_length_position,True,,,,,8000.0,middle,361.93275009281933,68.0,
jev,context_length_position,True,,,,,8000.0,end,286.676709074527,63.0,
jev,context_length_position,True,,,,,32000.0,start,319.8553330730647,98.0,
jev,context_length_position,True,,,,,32000.0,middle,438.17358394153416,140.0,
jev,context_length_position,True,,,,,32000.0,end,331.4042079728097,114.0,
jev,context_length_position,True,,,,,100000.0,start,585.0449579302222,156.0,
jev,context_length_position,True,,,,,100000.0,middle,535.8907498884946,213.0,
jev,context_length_position,True,,,,,100000.0,end,508.0267090816051,208.0,
semif,parallel_question_scaling,True,full_input,True,1.0,,,,926.8539999611676,926.854,
semif,parallel_question_scaling,True,full_input,True,2.0,,,,903.9118341170251,903.911834,
semif,parallel_question_scaling,True,full_input,True,4.0,,,,1011.1310828942806,1011.131083,
semif,parallel_question_scaling,True,full_input,True,8.0,,,,1235.8915831428021,1235.891583,
semif,parallel_question_scaling,True,full_input,True,16.0,,,,1743.080500047654,1743.0805,
semif,parallel_question_scaling,True,full_input,True,32.0,,,,2840.7212919555604,2840.721292,
semif,parallel_question_scaling,True,full_input,True,64.0,,,,5748.296624980867,5748.296625,
semif,parallel_question_scaling,True,full_input,True,128.0,,,,14301.016665995121,14301.016666,
semif,choice_cardinality_scaling,True,full_input,True,,2.0,,,5673.478750046343,5673.47875,
semif,choice_cardinality_scaling,True,full_input,True,,4.0,,,215.70912515744567,215.709125,
semif,choice_cardinality_scaling,True,full_input,True,,8.0,,,276.04195894673467,276.041959,
semif,choice_cardinality_scaling,True,full_input,True,,16.0,,,422.85174992866814,422.85175,
semif,choice_cardinality_scaling,False,unsupported_cardinality,False,,32.0,,,0.6641249638050795,0.664125,ValueError
semif,choice_cardinality_scaling,False,unsupported_cardinality,False,,64.0,,,0.27175014838576317,0.27175,ValueError
semif,choice_cardinality_scaling,False,unsupported_cardinality,False,,128.0,,,1.1091670021414757,1.109167,ValueError
semif,choice_cardinality_scaling,False,unsupported_cardinality,False,,255.0,,,0.25354092940688133,0.253541,ValueError
semif,context_length_position,True,full_input,True,,,500.0,start,273.822832852602,273.822833,
semif,context_length_position,True,full_input,True,,,500.0,middle,276.700375135988,276.700375,
semif,context_length_position,True,full_input,True,,,500.0,end,274.80808296240866,274.808083,
semif,context_length_position,True,full_input,True,,,2000.0,start,527.5407501030713,527.54075,
semif,context_length_position,True,full_input,True,,,2000.0,middle,529.2441661003977,529.244166,
semif,context_length_position,True,full_input,True,,,2000.0,end,520.7660421729088,520.766042,
semif,context_length_position,True,full_input,True,,,8000.0,start,1504.8785409890115,1504.878541,
semif,context_length_position,True,full_input,True,,,8000.0,middle,1553.0170418787748,1553.017042,
semif,context_length_position,True,full_input,True,,,8000.0,end,1526.3097500428557,1526.30975,
semif,context_length_position,True,full_input,True,,,32000.0,start,6065.899208188057,6065.899208,
semif,context_length_position,True,full_input,True,,,32000.0,middle,6029.476499883458,6029.4765,
semif,context_length_position,True,full_input,True,,,32000.0,end,6048.337167128921,6048.337167,
semif,context_length_position,True,full_input,True,,,100000.0,start,25105.508374981582,25105.508375,
semif,context_length_position,True,full_input,True,,,100000.0,middle,24680.52149983123,24680.5215,
semif,context_length_position,True,full_input,True,,,100000.0,end,25241.2201249972,25241.220125,
